filepath,type,category
analysis/gbm_diagnostics.py,POTENTIAL_DEAD_CODE,ORPHAN
analyze_backtest_pickle.py,ISOLATED,TEST
analyze_feature_variance.py,POTENTIAL_DEAD_CODE,ROOT_CLUTTER
app.py,POTENTIAL_DEAD_CODE,ROOT_CLUTTER
audit_tools/audit_core/__init__.py,ISOLATED,ORPHAN
audit_tools/audit_core/categorizer.py,ISOLATED,ORPHAN
audit_tools/audit_core/dependency_graph.py,ISOLATED,ORPHAN
audit_tools/audit_core/file_discovery.py,ISOLATED,ORPHAN
audit_tools/audit_core/import_analyzer.py,ISOLATED,ORPHAN
audit_tools/audit_core/model_analyzer.py,ISOLATED,ORPHAN
audit_tools/audit_core/report_generator.py,ISOLATED,ORPHAN
audit_tools/audit_tests/__init__.py,ISOLATED,TEST
audit_tools/run_audit.py,ISOLATED,ORPHAN
autonomous_loop.py,ISOLATED,ROOT_CLUTTER
check_gbm_health.py,POTENTIAL_DEAD_CODE,ROOT_CLUTTER
data/regime_tests.py,POTENTIAL_DEAD_CODE,ORPHAN
data/vpi_tests.py,POTENTIAL_DEAD_CODE,ORPHAN
debug_gpu.py,ISOLATED,ROOT_CLUTTER
diagnose_regressor.py,ISOLATED,ROOT_CLUTTER
evaluation/backtest_visualization.py,POTENTIAL_DEAD_CODE,TEST
evaluation/quantile_evaluation.py,ISOLATED,ORPHAN
inference/__init__.py,ISOLATED,ORPHAN
inference/predict_multiday.py,POTENTIAL_DEAD_CODE,CORE_INFERENCE
inference/quantile_ensemble_inference.py,POTENTIAL_DEAD_CODE,ORPHAN
inference/rl_position_sizer.py,ISOLATED,ORPHAN
inference/stacking_inference.py,ISOLATED,ORPHAN
inference_and_backtest.py,POTENTIAL_DEAD_CODE,CORE_INFERENCE
model_validation_suite.py,POTENTIAL_DEAD_CODE,ROOT_CLUTTER
models/__init__.py,ISOLATED,ORPHAN
orchestrate_training.py,ISOLATED,ROOT_CLUTTER
run_complete_pipeline.py,POTENTIAL_DEAD_CODE,ROOT_CLUTTER
scripts/auto_experiment_runner.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/backtest_gbm_only.py,POTENTIAL_DEAD_CODE,TEST
scripts/batch_train_models.py,ISOLATED,CORE_TRAINING
scripts/check_numpy.py,ISOLATED,UTILITY
scripts/diag_imports.py,ISOLATED,UTILITY
scripts/diag_symbol.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/diagnose_position_sizing.py,ISOLATED,UTILITY
scripts/evaluate.py,ISOLATED,UTILITY
scripts/generate_final_report.py,ISOLATED,UTILITY
scripts/optimize_hyperparams.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/refresh_cache_for_147.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/run_comprehensive_backtests.py,ISOLATED,UTILITY
scripts/run_feature_selection.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/statistical_comparison.py,ISOLATED,UTILITY
scripts/test_cache_system.py,POTENTIAL_DEAD_CODE,TEST
scripts/test_fetch_vix.py,POTENTIAL_DEAD_CODE,TEST
scripts/test_v31_migration.py,POTENTIAL_DEAD_CODE,TEST
scripts/tft_checkpoint_inspect.py,POTENTIAL_DEAD_CODE,UTILITY
scripts/validate_feature_consistency.py,POTENTIAL_DEAD_CODE,UTILITY
test_bear_market_msft.py,ISOLATED,TEST
test_compute_hybrid.py,ISOLATED,TEST
test_diverse_universe.py,ISOLATED,TEST
test_feature_count.py,POTENTIAL_DEAD_CODE,TEST
test_phase4_features.py,POTENTIAL_DEAD_CODE,TEST
tests/test_augmentation.py,POTENTIAL_DEAD_CODE,TEST
tests/test_data_integrity.py,ISOLATED,TEST
tests/test_feature_selection.py,POTENTIAL_DEAD_CODE,TEST
tests/test_model_diagnostics.py,POTENTIAL_DEAD_CODE,TEST
tests/test_target_balancing.py,POTENTIAL_DEAD_CODE,TEST
tests/test_target_distribution.py,POTENTIAL_DEAD_CODE,TEST
tft_loader.py,ISOLATED,ROOT_CLUTTER
training/generate_oof_predictions.py,POTENTIAL_DEAD_CODE,EXPERIMENTAL
training/optimize_thresholds.py,ISOLATED,ORPHAN
training/train_meta_learner.py,ISOLATED,CORE_TRAINING
training/tune_hyperparameters.py,POTENTIAL_DEAD_CODE,ORPHAN
utils/__init__.py,POTENTIAL_DEAD_CODE,UTILITY
utils/balanced_generator.py,ISOLATED,UTILITY
utils/diagnostics.py,ISOLATED,UTILITY
utils/ensemble_calibration.py,ISOLATED,UTILITY
utils/feature_selection.py,ISOLATED,UTILITY
utils/ts_augment.py,ISOLATED,UTILITY
verify_alignment_implementation.py,ISOLATED,ROOT_CLUTTER
verify_error_handling.py,ISOLATED,ROOT_CLUTTER
verify_validation_updates.py,ISOLATED,ROOT_CLUTTER
